,EDAD,AVG_DH,MINUTES_DH,EXPERIENCIA,GENERO,TRACK_DH,RESIDENCIA,NV_ESTUDIO,ESTUDIO_PREV,DIAS_EMP
2690,37.0,3.7,4559.9,,,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,101.0
586,34.0,3.7,4678.8,15.9,MASCULINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,90.0
4700,,3.2,4214.3,20.3,,DATA,ARGENTINA,POST_GRADUATE,COMMERCIAL,86.0
475,35.0,4.5,5761.6,18.4,FEMENINO,,ARGENTINA,UNIVERSITARY,COMMERCIAL,93.0
1395,32.0,3.1,4178.3,12.5,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,94.0
422,27.0,3.8,4672.0,5.8,MASCULINO,DATA,ARGENTINA,TERTIARY,DEVELOPMENT,88.0
5406,36.0,3.2,,,FEMENINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,100.0
6222,32.0,3.4,4526.5,12.7,MASCULINO,PROGRAMACION,BRAZIL,POST_GRADUATE,ENGINEERING,85.0
784,30.0,3.7,4721.1,9.2,MASCULINO,MARKETING,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
4289,26.0,,4948.3,5.0,MASCULINO,MARKETING,ARGENTINA,,DEVELOPMENT,86.0
3976,36.0,4.7,6539.0,18.4,MASCULINO,MARKETING,,TERTIARY,DEVELOPMENT,91.0
7019,36.0,3.5,4584.9,19.8,,DATA,MEXICO,TERTIARY,,91.0
353,25.0,3.7,4691.6,,MASCULINO,PROGRAMACION,BRAZIL,TERTIARY,ENGINEERING,87.0
7737,35.0,3.9,,18.2,FEMENINO,,ARGENTINA,UNIVERSITARY,COMMERCIAL,98.0
6311,36.0,3.8,4620.8,20.0,FEMENINO,EJECUTIVO,BRAZIL,TERTIARY,ENGINEERING,102.0
1087,,3.4,4476.7,,MASCULINO,,,UNIVERSITARY,ENGINEERING,85.0
3405,31.0,3.3,4357.3,11.9,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,COMMERCIAL,81.0
5321,34.0,3.9,,16.1,FEMENINO,,BRAZIL,TERTIARY,DEVELOPMENT,101.0
72,32.0,4.0,4824.5,,MASCULINO,,ARGENTINA,TERTIARY,ENGINEERING,85.0
5990,37.0,2.8,3224.5,21.0,MASCULINO,,,POST_GRADUATE,,91.0
197,37.0,,4208.0,19.3,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,87.0
4675,38.0,3.5,4524.6,22.5,MASCULINO,DATA,,TERTIARY,ENGINEERING,90.0
4697,32.0,3.1,4103.6,12.8,,EJECUTIVO,,UNIVERSITARY,ENGINEERING,86.0
6612,36.0,3.3,4399.5,19.2,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,DEVELOPMENT,91.0
2676,38.0,3.3,4373.3,23.9,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,COMMERCIAL,88.0
4396,42.0,,4655.4,26.6,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,,92.0
2405,34.0,,4002.6,16.2,FEMENINO,,,UNIVERSITARY,ENGINEERING,96.0
7665,43.0,3.7,,28.3,MASCULINO,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,93.0
518,38.0,,4427.7,,FEMENINO,MARKETING,MEXICO,,BUSINESS,102.0
4962,34.0,3.7,4571.1,16.4,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,94.0
7206,36.0,,,20.0,MASCULINO,DATA,BRAZIL,POST_GRADUATE,ENGINEERING,90.0
8218,,3.6,,13.9,MASCULINO,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,84.0
6235,39.0,3.4,4495.2,25.0,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,,91.0
7581,34.0,3.6,4669.1,,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,COMMERCIAL,85.0
6522,37.0,4.0,4791.7,22.6,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
4291,41.0,2.9,3477.9,25.6,MASCULINO,,ARGENTINA,,ENGINEERING,92.0
7188,37.0,3.2,4379.6,19.9,MASCULINO,PROGRAMACION,,UNIVERSITARY,,88.0
2665,,3.5,,7.0,FEMENINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,96.0
6340,30.0,4.5,5714.4,10.0,,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,85.0
771,37.0,4.7,6383.2,,MASCULINO,DATA,MEXICO,UNIVERSITARY,COMMERCIAL,89.0
7464,30.0,4.2,4964.3,9.1,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,95.0
3649,33.0,2.7,,15.5,FEMENINO,PROGRAMACION,MEXICO,,COMMERCIAL,99.0
5188,39.0,3.6,4700.5,,MASCULINO,,MEXICO,,DEVELOPMENT,90.0
7891,28.0,3.6,4717.4,,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,93.0
3307,26.0,,4207.6,4.0,,PROGRAMACION,,,COMMERCIAL,82.0
5234,27.0,4.0,4678.6,,,DATA,ARGENTINA,TERTIARY,,86.0
4044,35.0,3.0,3864.2,17.4,FEMENINO,PROGRAMACION,BRAZIL,TERTIARY,COMMERCIAL,101.0
6123,38.0,,2516.4,23.0,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,90.0
6996,37.0,3.5,4535.5,22.0,MASCULINO,DATA,,UNIVERSITARY,ENGINEERING,87.0
1670,,3.6,4590.7,8.9,FEMENINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,98.0
5110,38.0,3.8,4698.1,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
3843,45.0,3.4,,29.8,FEMENINO,PROGRAMACION,ARGENTINA,,DEVELOPMENT,105.0
7547,25.0,3.6,4550.2,2.5,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,92.0
3107,,3.8,,14.8,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,84.0
3221,28.0,3.0,3955.4,6.6,MASCULINO,DATA,ARGENTINA,TERTIARY,,88.0
3053,33.0,2.7,2836.4,,MASCULINO,EJECUTIVO,MEXICO,,COMMERCIAL,89.0
1221,30.0,,4496.1,9.9,,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,85.0
8638,43.0,,4685.5,28.2,MASCULINO,EJECUTIVO,BRAZIL,TERTIARY,COMMERCIAL,93.0
8743,41.0,,4795.3,24.8,FEMENINO,PROGRAMACION,ARGENTINA,,,97.0
5542,32.0,2.7,2944.1,12.8,FEMENINO,EJECUTIVO,BRAZIL,UNIVERSITARY,ENGINEERING,94.0
8584,27.0,3.0,3796.8,4.8,FEMENINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,ENGINEERING,96.0
456,38.0,3.6,4658.0,,,DATA,ARGENTINA,UNIVERSITARY,BUSINESS,101.0
653,46.0,3.3,4484.0,29.2,MASCULINO,DATA,ARGENTINA,TERTIARY,,95.0
7484,40.0,4.0,4652.9,25.1,MASCULINO,DATA,MEXICO,UNIVERSITARY,,87.0
7284,31.0,2.9,3498.3,,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,86.0
4451,,3.6,4650.9,15.6,FEMENINO,,ARGENTINA,,MARKETING,99.0
3815,29.0,,4445.7,,,,,,,94.0
1377,32.0,3.7,4729.6,13.8,MASCULINO,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,84.0
8618,28.0,2.9,3593.1,8.9,FEMENINO,DATA,BRAZIL,POST_GRADUATE,ENGINEERING,93.0
5119,34.0,3.3,4417.3,16.3,,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,90.0
8595,29.0,3.2,,9.5,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,84.0
2142,,,5270.4,30.5,FEMENINO,PROGRAMACION,BRAZIL,TERTIARY,COMMERCIAL,104.0
1083,,3.2,4340.4,0.3,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,86.0
5763,41.0,3.7,,25.7,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,93.0
5733,42.0,3.7,4546.7,27.1,,DATA,,UNIVERSITARY,,91.0
8842,35.0,3.3,4441.7,17.2,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,88.0
6949,30.0,3.9,4753.8,,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,83.0
